skirmish	"소규모 접전, 작은 충돌"
menagerie	(동물쇼 등을 위해 모아 놓은) 야생 동물들
malleable	"영향을 잘 받는, 잘 변하는"
geriatric	노인병학
innocuous	"악의 없는, 무해한, 위험하지 않은"
instill	"스며들게 하다, 서서히 주입시키다"
get back at	~에게 앙갚음하다
demote	"강등시키다, 좌천시키다"
complacency	"현 상태에 만족함, 안주"
raffle	래플(특정 프로젝트기관의 기금 모금을 위한 복권)
centrist	중도주의자
Asset Value	(1주당) 자산 가치
endemic	"고유의, 고질적인, 풍토적인"
arduous	"몹시 힘든, 고된"
contraption	"(기묘한) 기계, 장치"
gantry	(기둥 모양의) 갠트리 기중기
trawl	"대대적으로 조사하다, 샅샅이 훑다"
when push comes to shove	"어쩔 수 없게 되면, 다른 수가 없게 되면"
patriarchy	가부장제
nemesis	천벌
negligible	무시해도 될 정도의
clemency	"(처벌 대상에 대한) 관용, 관대한 처분"
empirical	"경험에 의거한, 실증적인"
ordnance	"포, 대포, 군수품"
snide	(은근히) 헐뜯는
landlocked	육지에 둘러싸인
pique	불쾌하게 하다
amenable	"말을 잘 듣는, ~을 잘 받아들이는"
dicker	흥정하다
extricate	해방되다
immemorial	태곳적부터의
minstrel	"(중세의) 음악가, 음유 시인"
catch-22	"부조리한 상황, 딜레마, 진퇴양난의 상태"
tripartite	"3부로 된, 3자로 이뤄진"
face-off	대결
fraught with	투성이인
protract	"(시간을) 오래 끌다, 길게 하다, 연장하다"
smarmy	(진실성은 없이) 지나치게 나긋나긋한
complicit	"연루된, 공모한"
revulsion	"혐오감, 역겨움"
pliable	"유연한, 순응적인"
lump sum	일시불(로 지불하는 금액)
accelerant	"촉진제, 촉매"
rove	방랑하다
hone 	(특히 기술을) 연마하다
dynamism	"활력, 패기"
pugnaciously	"싸움을 좋아하여 , 호전적으로"
inculcate	심어 주다
girth	"허리둘레, 둘레 치수"
lurid	"(색깔이) 야한, 충격적인, 끔찍한"
stranglehold	목 조르기
implicitly	"암암리에, 함축적으로"
cornerstone	"초석, 초대, 기초"
tithe	"(과거 교회를 후원하기 위해 내던) 십일조 세금, 십일조 헌금"
ravenous	"배가 고파 죽을 지경인, 엄청난"
besmirch	(평판 등을) 더럽히다
apogee	"정점, 절정"
idiosyncrasy	"특이한 성격, 성벽"
bottle it	(겁이 나서) 그만두다
impugn	의문을 제기하다
lambast	(특히 공개적으로) 맹공격하다
ineptitude	기량 부족
virtuous	"도덕적인, 고결한"
hasten	서둘러 하다
legislation	"제정법, 법률의 제정, 입법 행위"
vanquish	(경쟁·전쟁 등에서) 완파하다
paean	"찬가, 승리의 노래"
extol	극찬하다
litigation	소송
proclivity	성향
hocus-pocus	"진실을 호도하는 말, 간교한 말장난"
sacrilege	신성 모독
zilch	"무(無), 영(零)"
consistent	"한결같은, 일관된"
arbiter	결정권자
autocratic	독재적인
puny	"작고 연약한, 보잘것없는"
potpourri	"(여러 가지를) 혼합한 것, 포푸리(말린 꽃)"
lexicon	(특정 언어·분야·개인·집단에서 사용하는 모든) 어휘
fizzled out	흐지부지되다
vicious	"잔인한, 포악한, 악랄한"
plunder	약탈하다
posterity	"후세, 후대"
approbation	"승인, 찬성"
presumption	추정
goad	못살게 굴다
paltry	"보잘것없는, 쥐꼬리만한"
armistice	휴전
hold a person accountable for	"~의 책임을 남에게 뒤집어씌우다, 책임이 남에게 있다고 하다"
paralysis	마비
gross	"총(總), 중대한"
net	순(純)
penal	"처벌의, 형벌의"
proprietor	(사업체·호텔 등의) 소유주
catapult	"새총, 투석기, 내던지다"
surrogate	"대리의, 대용의"
squalor	불결한 상태
bauble	싸구려 보석
bedeck	"장식하다, 꾸미다"
strive for	~을 얻으려고 노력하다
zonk	"(마약·술에) 취하다, 몽롱하다"
commiserate	위로를 표하다
skew	왜곡하다
armchair	"(책이나 텔레비전 등을 통해) 간접적으로 아는, (실제는 모르는) 탁상공론식의"
mean well	(결과는 좋지 않을지 몰라도) 선의를 지니고 있다
heal the breach	화해시키다
crippler	"지체 부자유자 , 불구자"
debilitate	약화시키다
impetus	자극(제)
canvass	"유세를 하다, (여론·의견을) 조사하다"
uncouth	"무례한, 상스러운"
flaccid	"축 늘어진, 탄력 없는"
flounder	허둥대다
incarnation	화신
lingua franca	"국제어, 공통어"
divest	"(옷을) 벗다, 없애다"
mutilation	"절단, 불구"
supranational	초국가적인
austerity	"내핍 상태, 금욕적임, 엄격함"
atonement	속죄
waterboarding	물고문
hubris	자만심
alacrity	아주 기꺼이
fillip	"자극제, 활력소"
referendum	"국민 투표, 총선거"
unleash	촉발시키다
flatulent	"허풍스런, 배에 가스가 찬"
viscous	"끈적거리는, 점성이 있는"
tailwind	"뒤에서 부는 바람, 순풍"
impervious	~에 영향받지 않는
howitzer	곡사포
aficionado	"광(狂), 마니아"
compatriot	동포
interment	(죽은 사람의) 매장
incite	선동하다
excrement	"대변, 배설물"
insidious 	서서히 퍼지는
pilfer	"조금씩 빼돌리다, 좀도둑질을 하다"
excrete	"배설하다, 분비하다"
wallow	뒹굴다
exalt	"승격시키다, 칭찬하다"
caprice	"갑작스러운 변화, 변덕"
aegis	"(Zeus 신이 딸 Athena 신에게 주었다는) 방패, 보호"
animism	"정령 신앙, 우주 만물에 영혼이 있다는 믿음"
ewe	암양
fecundity	"생산력, (동물의 암컷의) 생식력"
stature	"지명도, 위상"
cookie-cutter	"별 특징이 없는, 비슷비슷한"
matriarchal	모계 중심의
rogue	"악당, 독자적으로 행동하는"
take a hit	타격을 입다
celibate	성관계를 안 한
stall	"멎다, (갑자기) 시동이 꺼지다"
cog 	톱니
mercenary	용병
furtherance	"발전, 진척"
ramification	"파문, 영향"
transfigure	변모시키다
congregation	신자들
pertain to	~와 관계가 있다
downtime	"한가한 시간, 휴식 시간"
pummel	(특히 주먹으로) 계속 치다
Idolatry	우상 숭배
morass	"늪, 난국"
pantheon	"(한 국가·민족의 모든) 신들, (국가의 위인들을 모신) 사원"
evangelize	전도하다
quid pro quo	보상으로 주는 것
scrupulous	"세심한, 꼼꼼한, 양심적인"
crypt	(특히 과거 묘지로 쓰이던 교회) 지하실
orthodox	"정통의, 전통적인"
interment	(죽은 사람의) 매장
mausoleum	"(중요 인물·가문의) 묘, 능"
forge	"구축하다, 대장간"
cushy	수월한
acclimate	익숙해지다
asymptomatic	증상이 없는
allegiance	충성
huckster	"강매하는 상인, 행상꾼"
detente	"긴장 완화, 관계 개선"
invective	욕설
Zeitenwende	시대의 전환
tectonic	(지질) 구조상의
agnostic	불가지론자
brimstone	유황
errant	"(행동이) 잘못된, 바람을 피우는"
impasse	교착 상태
accrue	"누적되다, 축적되다"
avowal	맹세
saber-rattling	"무력의 과시, 전쟁의 위기"
rapprochement	(두 국가·단체 사이의) 화해
rile	(사람을) 귀찮게 하다
chastise	꾸짖다
percolate	스며들다
figment	"꾸며낸 것, 허구"
bovine	소의
metamorphosis	"탈바꿈, 변형, 변태"
forsake	"저버리다, 버리다"
crucible	"(쇳물을 녹이거나 하는) 도가니, 호된 시련의 장"
nirvana	열반
fulcrum	"(지렛대의) 받침점, 지렛목, 지주"
aground	배가 좌초되어
give the third degree	~에게 질문을 퍼붓다
nefarious	"범죄의, 비도덕적인"
spurious	"거짓된, 겉으로만 그럴싸한"
ascension	"예수의 승천, 오름, 승진"
secularism	세속주의
theist	"유신론자, 일신론자"
fervour	열정
semantic	"의미의, 의미론적인"
edict	"포고령, 칙령"
give short shrift to	"~을 지체없이 처치하다, 가차없이 다루다"
chaplain	"사제, 목사"
commissar	(특히 과거 소련 공산당의) 정치 위원
heresy	이단
expound	자세히 설명하다
sanctity	"존엄성, 신성함"
reconnaissance	(군사적인 목적의) 정찰
dependence	"의존, 의지"
cede	양도하다
misconstrue	오해하다
Hindsight Fallacy	사후확신 오류
adherent	지지자
esoteric	"소수만 이해하는, 비전(秘傳)의"
castigate	"크게 책망하다, 혹평하다"
grandiose	(너무) 거창한
estuary	(강이 바다로 흘러들어 가는) 어귀
optimum	"최고의, 최적의"
memetic	"관습적인, 전통적인"
irrespective	"~을 돌아보지 않고, ~을 무시하고"
disdain	"업신여김, 무시, 무시하다"
whimsical	"? 엉뚱한, 기발한"
societal	사회의
notably	"특히, 현저히, 뚜렷이"
jump the gun	"섣불리 행동하다, 경솔하게 행동하다"
take the bitter with the sweet	고락을 함께 받아들이다
heart and soul	열과 성을 다해
luster	"광택, 윤, 영광"
arid	매우 건조한
codex	고문서
cityscape	도시 경관
insolvency	"지불 불능, 채무 초과, 파산"
travail	"고생, 고역"
obfuscation	불명료화
bratty	"건방진, 주제넘은"
regurgitated	"역류시키다, 반복하다"
pollster	여론 조사 요원
aforementioned	"앞서 언급한, 전술한"
in question	"문제의, 의심스러운"
gratuity	팁
erratic	"불규칙한, 일정치 않은, 변덕스러운"
languish	"머물다, 겪다"
insurrection	반란 사태
intone	"말하다, 읊조리다"
at the discretion of	"~의 재량대로, 좋을대로"
suffice to say	~라고만 해도 충분할 것이다
rudimentary	"가장 기본적인, 기초 적인"
elixir	"영약, 묘약"
evince	분명히 밝히다
inaction 	"활동 부족, 무대책"
prude	(성적인 것과 관련해서)내숭을 떠는 사람
lynchpin	"핵심이 되는 인물, 핵심이 되는 것"
ad-hoc	즉석(에서 마련된)
ad nauseam	지겹도록
treasure trove	매장물
unmet	"충족되지 않는, 채워지지 않는"
litigious	소송을 일삼는
larceny	"절도, 도둑질"
stratosphere	성층권
deprave	타락하게 만들다
batten down the hatches	위기에 대비하다
poshness	"우아함 , 호화로움"
reflexive	재귀 용법의
double-entendre	이중적 의미를 갖는 어구
ingratiate	환심을 사다
gaffe	실수
onus	책임
blather	계속 지껄이다
purveyor	조달업자
concur	동의하다
flaccidity	"연약, 맥없음, 무기력"
modus operandi	"방식, 절차"
subterfuge	속임수
all but	거의
heavy-handed	"가혹한, 냉정한"
exigent	"위급한, 급박한"
stakeholder	"이해 당사자, 주주"
anoint	"성유를 바르다, 성수를 바르다"
vex	"성가시게하다, 짜증나게하다"
putrefaction	(특히 시체의) 부패
quandary	진퇴양난
diaspora	디아스포라(다른 나라에서 살며 일하기 위한 유대인들의 이동)
dignitary	고위 관리
epiphany	예수 공현
reconnoitre	(특히 군사적인 목적으로) 정찰하다
scurvy	괴혈병
wussy	"겁쟁이, 여자 같은 남자"
milquetoast	"대가 약한 남자, 변변치 못한 남자"
hothouse 	"온실, 온상"
aegis	(Zeus 신이 딸 Athena 신에게 주었다는) 방패
usurpation	"강탈, 탈취"
environs	주변 (지역)
virulence	"독성, 병독성"
dawdle	꾸물거리다
emissary	"사절, 특사"
edifice	"(크고 인상적인) 건물, 조직, 체계"
prise	(무엇을 분리시키기 위해 억지로) 비틀다
wherewithal	"(무엇을 하는 데 필요한) 돈, 수단, 기술"
colossus	"대단히 중요한 사람(것), 거인"
regale	"융숭하게 대접하다, 맘껏 즐기게 하다"
bronco	(미국 서부의) 야생마
antipathy	(강한) 반감
rest on your laurels	이미 성취한 것에 안주하다
fanaticism	광신
misogyny	여자를 싫어함
foment	(문제·폭력을) 조장하다
souse	(액체 속에) 푹 담그다
stupendous	"엄청나게 큰, 거대한"
impecunious	"동전 한 푼 없는, 무일푼의"
scullery	부엌방
neuter	"거세하다, 중성의"
postpartum	산후의
in a nutshell	"아주 분명히, 간단명료하게"
despoil	"(어떤 장소에서 귀중한 것을) 빼앗다, 훼손하다"
ad infinitum	"끝도 없이, 무한정"
panache	위풍당당
inculcate	심어 주다
